s_video_id,e_width,e_height,t_average_bitrate,predicted_vmaf
420.0,960.0,540.0,1316.0,77.62830691421397
420.0,640.0,360.0,734.0,59.51834146444649
422.0,960.0,540.0,1448.0,81.38985807100445
422.0,1280.0,720.0,2404.0,88.77299809463914
422.0,1920.0,1080.0,6527.0,97.54881283716107
422.0,640.0,360.0,742.0,67.42498531645222
422.0,768.0,432.0,984.0,73.35469708983732
422.0,416.0,234.0,371.0,37.542437507812615
422.0,1920.0,1080.0,4516.0,95.94089150931715
422.0,960.0,540.0,1082.0,79.0355496642077
422.0,1280.0,720.0,1758.0,86.8502899041675
422.0,640.0,360.0,566.0,64.3665859538592
422.0,768.0,432.0,745.0,72.96513178512974
422.0,1280.0,720.0,1293.0,85.4299570340881
422.0,416.0,234.0,288.0,37.675723350163715
422.0,1920.0,1080.0,3108.0,94.61983618237211
422.0,960.0,540.0,813.0,77.8493556687936
422.0,640.0,360.0,432.0,60.616971331405026
422.0,768.0,432.0,565.0,70.8102537806633
422.0,416.0,234.0,221.0,34.86078830507042
422.0,1920.0,1080.0,3108.0,94.61983618237211
422.0,1280.0,720.0,1293.0,85.4299570340881
422.0,960.0,540.0,813.0,77.8493556687936
422.0,640.0,360.0,432.0,60.616971331405026
422.0,768.0,432.0,565.0,70.8102537806633
422.0,416.0,234.0,221.0,34.86078830507042
422.0,1920.0,1080.0,2173.0,93.98137700352699
422.0,1280.0,720.0,970.0,84.51491967920697
422.0,640.0,360.0,331.0,59.872573348684156
422.0,768.0,432.0,430.0,66.68541407418293
422.0,960.0,540.0,615.0,75.0006076975167
422.0,416.0,234.0,171.0,32.488422714392954
422.0,1920.0,1080.0,1597.0,92.03519305375974
422.0,1280.0,720.0,750.0,82.3202688975869
422.0,960.0,540.0,481.0,71.7906475808229
422.0,640.0,360.0,259.0,54.53949004985205
422.0,768.0,432.0,336.0,63.717783690520086
422.0,416.0,234.0,135.0,26.725759614795376
422.0,1920.0,1080.0,1197.0,89.80084905959367
422.0,1280.0,720.0,570.0,81.13737200144207
422.0,960.0,540.0,368.0,71.37341410669318
422.0,640.0,360.0,201.0,51.15202660161222
422.0,768.0,432.0,258.0,60.58544517060623
422.0,416.0,234.0,106.0,25.245539976599954
422.0,1920.0,1080.0,911.0,86.60710588286685
422.0,1280.0,720.0,440.0,77.62966783801181
422.0,960.0,540.0,284.0,66.78257568683236
422.0,640.0,360.0,156.0,47.602988439788454
422.0,768.0,432.0,199.0,55.44654029100085
422.0,416.0,234.0,83.0,21.390279491184767
422.0,1920.0,1080.0,506.0,76.00371496932395
422.0,1280.0,720.0,252.0,65.22184471773303
422.0,960.0,540.0,164.0,52.38971696888554
422.0,768.0,432.0,114.0,43.27521170176303
422.0,640.0,360.0,89.0,34.8463574659267
422.0,416.0,234.0,47.0,10.640163694639455
422.0,1920.0,1080.0,315.0,66.89444898076714
422.0,1280.0,720.0,159.0,53.28018274098968
422.0,960.0,540.0,103.0,38.64375010264874
422.0,640.0,360.0,56.0,19.904044921789843
422.0,768.0,432.0,72.0,27.055325765750826
422.0,416.0,234.0,30.0,3.30825052066436
422.0,1920.0,1080.0,206.0,52.88054983926892
422.0,1280.0,720.0,107.0,34.048335084419016
422.0,960.0,540.0,69.0,19.53132831993089
422.0,640.0,360.0,37.0,6.710751052610317
422.0,768.0,432.0,48.0,10.616640215465786
422.0,416.0,234.0,20.0,0.675271909119195
422.0,1920.0,1080.0,131.0,27.32110500431646
422.0,1280.0,720.0,69.0,13.513428653715346
422.0,960.0,540.0,45.0,4.605391538116414
422.0,640.0,360.0,24.0,1.1570530885670716
422.0,768.0,432.0,31.0,2.2857258084531042
422.0,416.0,234.0,13.0,-0.045507523004462744
422.0,1920.0,1080.0,120.0,18.90310475116803
422.0,1280.0,720.0,63.0,10.977794060858576
422.0,960.0,540.0,41.0,2.8128587134347294
422.0,640.0,360.0,22.0,0.3746151368275838
422.0,768.0,432.0,28.0,1.4437020206330526
422.0,416.0,234.0,12.0,-0.18643781156151226
489.0,1920.0,1080.0,11879.0,99.65294602216912
489.0,960.0,540.0,4681.0,89.61089910602418
489.0,640.0,360.0,2466.0,76.20059916536901
489.0,1280.0,720.0,7285.0,95.6976153126319
489.0,768.0,432.0,3264.0,83.92522496179139
489.0,416.0,234.0,1199.0,48.88049641026828
489.0,1920.0,1080.0,9968.0,99.26060990647314
489.0,1280.0,720.0,5716.0,94.10421135604462
489.0,960.0,540.0,3681.0,87.9307445772235
489.0,640.0,360.0,1926.0,70.59528708890186
489.0,416.0,234.0,934.0,45.64615287139934
489.0,768.0,432.0,2548.0,80.26300834808276
489.0,1280.0,720.0,4475.0,91.7564940524942
489.0,960.0,540.0,2875.0,84.35634013686163
489.0,416.0,234.0,722.0,39.11644175162488
489.0,640.0,360.0,1495.0,66.82398819002061
489.0,768.0,432.0,1979.0,75.86022186283587
489.0,1920.0,1080.0,6739.0,97.25547942517625
489.0,1280.0,720.0,3490.0,88.79987655408506
489.0,960.0,540.0,2233.0,80.03803466051265
489.0,640.0,360.0,1154.0,62.142918650275824
489.0,768.0,432.0,1531.0,71.06047585846663
489.0,416.0,234.0,554.0,37.2146720499149
489.0,1920.0,1080.0,5389.0,95.41265732642152
489.0,960.0,540.0,1724.0,74.436761087759
489.0,1280.0,720.0,2713.0,83.90888141808477
489.0,640.0,360.0,886.0,55.97309424366305
489.0,768.0,432.0,1177.0,65.07812719406269
489.0,1920.0,1080.0,4252.0,92.076826736863
489.0,1280.0,720.0,2100.0,78.55967880503368
489.0,416.0,234.0,422.0,31.073001553213622
489.0,960.0,540.0,1325.0,68.2508485277978
489.0,640.0,360.0,676.0,50.08873290601067
489.0,768.0,432.0,900.0,58.2271137890925
489.0,416.0,234.0,321.0,26.53894205051993
489.0,1920.0,1080.0,3353.0,88.33614293552128
489.0,960.0,540.0,1013.0,61.15423466836613
489.0,1280.0,720.0,1619.0,72.53381115313947
489.0,640.0,360.0,513.0,43.35269559138167
489.0,768.0,432.0,685.0,52.19822999732486
489.0,416.0,234.0,243.0,22.220487504043724
489.0,1920.0,1080.0,1826.0,72.67476159556878
489.0,1280.0,720.0,835.0,53.833455322446106
489.0,640.0,360.0,256.0,29.037561625014803
489.0,768.0,432.0,342.0,35.97255587793988
489.0,416.0,234.0,120.0,13.374077172704068
489.0,1920.0,1080.0,991.0,51.8274493296822
489.0,960.0,540.0,513.0,43.824570844047585
489.0,1280.0,720.0,436.0,40.3315977506754
489.0,960.0,540.0,264.0,26.14891582768839
489.0,416.0,234.0,61.0,5.90730182704013
489.0,640.0,360.0,130.0,16.398680569645094
489.0,768.0,432.0,175.0,19.995528337078877
489.0,960.0,540.0,145.0,13.581325907251625
489.0,1920.0,1080.0,552.0,32.22709034941452
489.0,1280.0,720.0,242.0,19.015905701917642
489.0,768.0,432.0,95.0,10.240091274010362
489.0,640.0,360.0,70.0,6.728880962979902
489.0,416.0,234.0,33.0,2.39619529524397
489.0,1920.0,1080.0,316.0,18.20079566047365
489.0,1280.0,720.0,139.0,9.014792840133225
489.0,640.0,360.0,40.0,1.8596103838692175
489.0,960.0,540.0,82.0,4.724818926807392
489.0,768.0,432.0,54.0,2.96936544736687
489.0,416.0,234.0,19.0,1.7683314318916343
489.0,1920.0,1080.0,286.0,17.358466823987452
489.0,1280.0,720.0,125.0,7.1118033535652385
489.0,960.0,540.0,74.0,3.5368112733364057
489.0,640.0,360.0,36.0,0.8251149770284978
489.0,768.0,432.0,49.0,1.9762438598883634
489.0,416.0,234.0,17.0,1.7418266736800603
493.0,1920.0,1080.0,8746.0,99.19090780313046
493.0,1280.0,720.0,4117.0,94.60299440643384
493.0,640.0,360.0,1420.0,76.69856725326264
493.0,960.0,540.0,2649.0,89.85944975520016
493.0,768.0,432.0,1803.0,83.51817592676097
493.0,416.0,234.0,731.0,50.12855067531214
493.0,1920.0,1080.0,6949.0,98.69459436047818
493.0,1280.0,720.0,3200.0,94.17402430407027
493.0,960.0,540.0,2062.0,86.19472750609305
493.0,640.0,360.0,1124.0,73.3025253507807
493.0,768.0,432.0,1422.0,81.66829646014352
493.0,416.0,234.0,580.0,47.64101018369888
493.0,1920.0,1080.0,5387.0,97.96514020706914
493.0,1280.0,720.0,2503.0,90.01613702395606
493.0,960.0,540.0,1620.0,84.36730374023642
493.0,768.0,432.0,1125.0,77.33712327008129
493.0,416.0,234.0,459.0,44.41608445423001
493.0,640.0,360.0,889.0,69.025031046634
493.0,1920.0,1080.0,4242.0,96.1023749006909
493.0,1280.0,720.0,1967.0,87.29935997322609
493.0,960.0,540.0,1270.0,80.74856527136444
493.0,640.0,360.0,705.0,65.04223412421024
493.0,768.0,432.0,890.0,72.49729273955509
493.0,416.0,234.0,365.0,40.76034384461745
493.0,1920.0,1080.0,3273.0,94.22416230157972
493.0,1280.0,720.0,1566.0,83.36843493406664
493.0,640.0,360.0,563.0,58.17362175799097
493.0,960.0,540.0,1007.0,75.97834470523074
493.0,768.0,432.0,707.0,68.1685792038363
493.0,416.0,234.0,289.0,35.231191577082065
493.0,1920.0,1080.0,2630.0,91.11661987763948
493.0,1280.0,720.0,1255.0,79.78631327834105
493.0,960.0,540.0,804.0,71.29804426632226
493.0,640.0,360.0,450.0,54.035903386106696
493.0,768.0,432.0,567.0,62.43041080325893
493.0,416.0,234.0,230.0,30.166905800826438
493.0,1920.0,1080.0,2111.0,85.88419281326914
493.0,1280.0,720.0,1008.0,73.28349779439532
493.0,960.0,540.0,645.0,64.42324014933584
493.0,640.0,360.0,358.0,48.00202881059813
493.0,768.0,432.0,450.0,56.523481001564285
493.0,416.0,234.0,183.0,25.852545935661464
493.0,1920.0,1080.0,1250.0,73.23819547496285
493.0,1280.0,720.0,594.0,57.451050933867904
493.0,768.0,432.0,263.0,37.25622920611075
493.0,640.0,360.0,210.0,32.0065848902548
493.0,960.0,540.0,375.0,48.038191791886604
493.0,416.0,234.0,107.0,14.583733671591242
493.0,1920.0,1080.0,764.0,55.42461332441895
493.0,1280.0,720.0,361.0,39.83208827249794
493.0,960.0,540.0,228.0,30.645731540779686
493.0,640.0,360.0,128.0,18.059986941747663
493.0,768.0,432.0,161.0,22.799750471727993
493.0,416.0,234.0,66.0,6.619901276384864
493.0,1920.0,1080.0,505.0,36.838532539805506
493.0,1280.0,720.0,229.0,22.79544206403286
493.0,960.0,540.0,147.0,13.278596672831029
493.0,640.0,360.0,81.0,6.073829310883284
493.0,768.0,432.0,104.0,9.360649816861578
